"OrganismRowID"	"OrganismCodeMaster"	"CommonNameMaster"	"OrganismCodeSTN"	"FieldNameSTN"	"OrganismCodeMWT"	"FieldNameMWT"	"OrganismSymbol"	"Active"	"CommonName"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
141		"Sacramento perch"	42	"SACPERCH"	51	"SACPERCH"	"SP"	1	"Sacramento Perch"	"NA"	"NA"	"NA"	"Centrarchidae"	"Archoplites"	"interruptus"
142	7057	"Sacramento pikeminnow"	30	"SACSQUAW"	63	"SACSQUAW"	"SQ"	1	"Sacramento Squawfish"	"NA"	"NA"	"NA"	"Cyprinidae"	"Ptychocheilus"	"grandis"
143	7080	"Sacramento sucker"	64	"SACSUCKR"	66	"SACSUCKR"	"SUC"	1	"Sacramento Sucker"	"NA"	"NA"	"NA"	"Catostomidae"	"Catostomus"	"occidentalis"
144	2829	"saddleback gunnel"						1							
145	3126	"sand sole"	119		81	"SANDSOLE"		1	"Sand Sole"	"NA"	"NA"	"NA"	"Pleuronectidae"	"Psettichthys"	"melanostictus"
146	3000	"sanddab (Unid)"						1							
147	221	"sandpaper skate"						1							
148	2432	"scalyhead sculpin"						1							
149		"Scrippsia pacifica"			106			1							
150	2445	"sculpin (Unid)"	63	"SCULPINF"			"COT"	1	"Sculpins (Unid)"	"NA"	"NA"	"NA"	"Cottidae"	"NA"	"NA"
151	2868	"shimofuri goby"	66	"SHIMGOBY"	95	"SHIMGOBY"	"SG"	1	"Shimofuri Goby"	"NA"	"NA"	"NA"	"Gobiidae"	"Tridentiger"	"bifasciatus"
152	2105	"shiner perch"	47	"SHNRPRCH"	21	"SHNRPRCH"	"SHP"	1	"Shiner Perch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Cymatogaster"	"aggregata"
153	2866	"shokihaze goby"	97		97	"SHOKGOBY"	"97"	1	"Shokihaze Goby"	"NA"	"NA"	"NA"	"Gobiidae"	"Tridentiger"	"barbatus"
154	212	"shovelnose guitarfish"						1							
155	1593	"showy snailfish"						1							
156	2111	"silver surfperch"			110			1							
157	2690	"silverside (Unid)"	32	"SLVESIDF"			"ISS"	1	"Silversides (Unid)"	"NA"	"NA"	"NA"	"Atherinopsidae"	"NA"	"NA"
158	1591	"slipskin snailfish"						1							
159	7151	"smallmouth bass"	68	"SMLMBASS"	94	"SMTHBASS"	"SMB"	1	"Smallmouth Bass"	"NA"	"NA"	"NA"	"Centrarchidae"	"Micropterus"	"dolomieui"
160	1200	"smelt (Unid)"	1	"SMELT"	88	"SMLTFMLY"	"OSM"	1	"Smelt (Unid)"	"NA"	"NA"	"NA"	"Osmeridae"	"NA"	"NA"
161	1590	"snailfish (Unid)"						1							
162	2807	"snake prickleback"						1							
163		"speckled dace"	149					1	"Speckled Dace"	"NA"	"NA"	"NA"	"NA"	"Rhinichthys"	"osculus"
164	3002	"speckled sanddab"	80		80	"SPKSANDB"		1	"Speckled Sanddab"	"NA"	"NA"	"NA"	"Bothidae"	"Citharichthys"	"stigmaeus"
165	163	"spiny dogfish"	117		57	"SPINYDOG"		1	"Spiny Dogfish"	"NA"	"NA"	"NA"	"Squalidae"	"Squalus"	"acanthias"
166	7054	"splittail"	28	"SPLITAIL"	29	"SPLITAIL"		1	"Splittail"	"NA"	"NA"	"NA"	"Cyprinidae"	"Pogonichthys"	"macrolepidotus"
167	2109	"spotfin surfperch"	130		89	"SPTFPRCH"		1	"Spotfin Surfperch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Hyperprosopon"	"anale"
168	7152	"spotted bass"			113			1							
169	1621	"spotted cusk-eel"						1							
170	3121	"starry flounder"	19	"STARYFLD"	31	"STRFLNDR"	"19"	1	"Starry Flounder"	"NA"	"NA"	"NA"	"Pleuronectidae"	"Platichthys"	"stellatus"
171	1107	"steelhead"	55		32	"STEELHED"	"STH"	1	"Steelhead"	"NA"	"NA"	"NA"	"Salmonidae"	"Oncorhynchus"	"mykiss"
172	7138	"striped bass"						1							
173	7138	"age-0 Striped Bass"	0	"STPBASS0"	33	"STPBASS0"	"16"	1	"Age-0 Striped Bass"	"NA"	"NA"	"NA"	"Moronidae"	"Morone"	"saxatilis"
174	7138	"striped bass age1"	16		34	"STPBASS1"	"SB"	1	"Striped Bass Adult"	"NA"	"NA"	"NA"	"Moronidae"	"Morone"	"saxatilis"
175	7138	"striped bass age2plus"	132		35	"STPBASS2"		1	"Striped Bass Adult 2"	"NA"	"NA"	"NA"	"Percichthyidae"	"Morone"	"saxatilis"
176	7138	"striped bass age1 (TNS)"	17					1	"Age-1 Striped Bass"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
177	7138	"striped bass age2plus (TNS)"	18					1	"Age-2 Striped Bass"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
178		"striped bass age3plus"			109			1							
179	2758	"striped kelpfish"						1							
180	2725	"striped mullet"	142					1	"Striped Mullet"	"NA"	"NA"	"NA"	"NA"	"Mugil"	"cephalus"
181	2108	"striped seaperch"						1							
182		"sturgeon (Unid)"	21	"STURGFMY"			"ACI"	1	"Sturgeon (Unid)"	"NA"	"NA"	"NA"	"Acipenseridae"	"NA"	"NA"
183	7166	"sunfish (Unid)"	36	"SUNFISHF"			"CNT"	1	"Centrarchids (Unid)"	"NA"	"NA"	"NA"	"Centrarchidae"	"NA"	"NA"
